"Entity","Code","Year","pa_coverage","co2_per_capita","gdp_growth"
"Afghanistan","AFG","2017",0.104707034792812,NA,"2.64700320195786"
"Albania","ALB","2017",17.7360953122157,152,"3.80222740018748"
"Algeria","DZA","2017",7.49506002830462,315,"1.29999999999994"
"American Samoa","ASM","2017",15.8477447307274,NA,"-6.98757763975155"
"Andorra","AND","2017",26.7277247815139,NA,"0.346071889630295"
"Angola","AGO","2017",6.97142669594584,56,"-0.147212941085755"
"Antigua and Barbuda","ATG","2017",18.5696736890488,NA,"3.14432323970505"
"Argentina","ARG","2017",8.80825141581955,395,"2.81850297775918"
"Armenia","ARM","2017",23.1105028060216,175,"7.50000000164144"
"Aruba","ABW","2017",18.9175762600279,NA,"1.9999991044233"
"Australia","AUS","2017",19.2656223071572,1564,"2.29592694694063"
"Austria","AUT","2017",28.397981655605,729,"2.25857243250671"
"Azerbaijan","AZE","2017",10.1551256208372,312,"0.199999999999804"
"Bahamas","BHS","2017",36.6336475275265,NA,"1.62501197597548"
"Bahrain","BHR","2017",6.62174781265092,1992,"4.29094977756338"
"Bangladesh","BGD","2017",4.60596281196676,49,"7.28417442269364"
"Barbados","BRB","2017",1.27010819350234,NA,"0.475110679192298"
"Belarus","BLR","2017",9.35349335261769,569,"2.53218350023035"
"Belgium","BEL","2017",23.293342934656,795,"1.6195802783878"
"Belize","BLZ","2017",37.6793655671877,NA,"1.81368203309692"
"Benin","BEN","2017",29.6233712049703,6,"5.67155546944753"
"Bermuda","BMU","2017",2.07991902345745,NA,"3.61141983706115"
"Bhutan","BTN","2017",48.0078510451913,NA,"4.65183467529606"
"Bolivia","BOL","2017",30.8654914952936,19,"4.1952063010676"
"Bosnia and Herzegovina","BIH","2017",1.39550157071326,666,"3.17143487487128"
"Botswana","BWA","2017",29.1432374214093,332,"4.003449739749"
"Brazil","BRA","2017",29.4196676737717,209,"1.32286905390815"
"British Virgin Islands","VGB","2017",9.10881468166607,NA,NA
"Brunei","BRN","2017",46.87211976066,1583,"1.32860255161715"
"Bulgaria","BGR","2017",34.7035801172141,603,"2.76217095961262"
"Burkina Faso","BFA","2017",14.9228805539331,NA,"6.20348941121868"
"Burundi","BDI","2017",7.5914717058788,NA,"0.500009998779461"
"Cambodia","KHM","2017",26.027716099692,65,"6.99690369938479"
"Cameroon","CMR","2017",10.6005464149767,26,"3.54117654926007"
"Canada","CAN","2017",9.68557393581083,1529,"3.03988022528195"
"Cape Verde","CPV","2017",2.89524038891919,NA,"3.70203918776542"
"Cayman Islands","CYM","2017",10.7627698356687,NA,"3.18404337595337"
"Central African Republic","CAF","2017",18.0648242198926,NA,"4.52727821346231"
"Chad","TCD","2017",20.3544358034532,NA,"-2.98869598553931"
"Chile","CHL","2017",18.4944542424793,465,"1.18454470657974"
"China","CHN","2017",15.449041955767,673,"6.94720079327288"
"Colombia","COL","2017",14.8069558212089,144,"1.35936086788746"
"Comoros","COM","2017",10.1514342727337,NA,"3.81570211280726"
"Congo","COG","2017",40.7380367837893,56,"-4.38253094681009"
"Costa Rica","CRI","2017",27.6026953211753,153,"4.15769896287743"
"Cote d'Ivoire","CIV","2017",22.8846634839832,43,"7.35963808821695"
"Croatia","HRV","2017",38.2536302140039,391,"3.41409225965485"
"Cuba","CUB","2017",16.5532324654921,226,"1.80905439941586"
"Curacao","CUW","2017",15.4623806987241,NA,"-1.73976542028957"
"Cyprus","CYP","2017",18.6504409036147,753,"5.85254035493243"
"Czechia","CZE","2017",22.1556760039807,945,"5.16872430413071"
